"date","label","lat","long","id","seven_day_rainfall_average","three_day_rainfall_average","temp_high_0","temp_high_1","temp_high_2","temp_low_0","temp_low_1","temp_low_2","humidity_0","humidity_1","humidity_2","cloud_cover_day_of","wind_speed_day_of"
"9/1/19","1","36.13750227","-119.4892455","1","0.0039","0.0017","101.97","99.4","99.8","63.11","63.98","62.57","0.42","0.5","0.42","0.01","4.12"
"9/1/19","1","36.1291668","-119.45076","2","0.0039","0.0017","102.14","99.67","100.02","63.33","63.89","62.58","0.42","0.5","0.42","0.01","4.15"
"9/1/19","1","36.1479189","-119.47931","3","0.0039","0.0017","102.04","99.46","99.83","63.11","63.85","62.51","0.42","0.5","0.43","0.01","4.13"
"9/1/19","1","36.4375006","-119.01207","4","0.0031","0.0013","95.65","91.61","94.27","74.24","71.67","68.05","0.44","0.51","0.39","0.01","3.65"
"9/1/19","1","36.4541677","-119.01692","5","0.0034","0.0015","95.93","92.04","94.83","74.3","71.66","68.85","0.44","0.5","0.39","0.01","3.49"
"9/1/19","1","36.4375015","-118.99136","6","0.0031","0.0013","93.14","89.3","91.71","74.63","71.62","68.13","0.43","0.51","0.4","0.01","3.79"
"9/1/19","1","36.4375006","-118.97064","7","0.0033","0.0014","93.54","90.82","94.27","74.38","71.64","68.35","0.41","0.47","0.39","0.01","3.92"
"9/1/19","1","36.1541682","-118.16777","8","0.0036","0.0015","80.46","80.65","79.27","59.07","59.2","58.33","0.14","0.14","0.23","0","7.28"
"9/1/19","1","36.283334","-118.2028","9","0.003","0.0013","78.55","78.58","76.03","55.49","56.57","54.47","0.16","0.17","0.26","0","5.47"
"9/1/19","1","36.2925011","-118.19911","10","0.0034","0.0014","78.52","78.46","75.97","55.9","56.62","54.84","0.15","0.15","0.25","0","5.79"
"9/1/19","1","37.8208344","-118.91318","11","0.0044","0.0012","81.18","78.94","77.28","49.54","51.67","51.83","0.22","0.19","0.34","0","5.21"
